Date,Water_Level_m,Temperature_C,Rainfall_mm,pH,Dissolved_Oxygen_mg_L
2022-10-04,2.215421869890214,13.92348398934344,1.8394411139433212,6.963423812239455,8.814341113045407
2022-10-05,2.186419799275466,13.80584988451108,10.607994263155168,7.00998818561146,8.73620958133391
2022-10-06,2.2618991873105786,11.58145262749581,3.483863459929281,6.86737513222415,8.718526012726715
2022-10-07,2.152436739218285,12.545831928811822,1.3852086976662703,6.885101257497184,8.775815671175677
2022-10-08,2.1481180290163353,13.6339396269601,3.161049900985232,6.882200221376884,8.835497241907798
2022-10-09,2.072225381534079,12.78316381044439,3.674932317138356,7.005391624636662,8.76192074351093
2022-10-10,2.1264936359593257,13.80187889396424,10.158428209892187,6.985429188171124,8.723023901768842
2022-10-11,2.083161395982878,14.654518772093012,0.854930210292524,6.974413346939527,8.852438510862594
2022-10-12,2.085732107446545,13.414989069614264,1.8795550757271424,6.960845348882513,8.767856403588266
2022-10-13,2.1009968433355286,13.045618451336065,1.5543598583141183,6.97486427382218,8.83080004071358
2022-10-14,2.1124706342894175,13.336471810463991,4.364402685250444,6.95383921349884,8.784537758784841
2022-10-15,2.0594247814440533,12.87930777592429,7.039622941584852,6.994503728636735,8.86877073215284
2022-10-16,2.0305898218151817,13.313884847957777,1.8236166540166258,6.868352516447817,8.836043236059556
2022-10-17,2.0621379932150117,14.249432658097585,5.161048701955395,6.999719131464478,8.72085741695427
2022-10-18,2.082721867168393,12.433036450098555,2.3703358827725945,6.94054699052554,8.809315525211915
2022-10-19,2.100903337920197,13.931753744655883,1.9332214316651854,6.892095907412701,8.749514682490514
2022-10-20,1.9546070624898144,14.04353392437346,1.442345209707834,7.030560938482161,8.799757753335505
2022-10-21,1.9961642844786047,13.84752636257321,11.393452441295864,6.920215759714856,8.75052994472659
2022-10-22,2.004128031586799,13.785313936338374,10.60337851996792,6.974950150914946,8.824222067576964
2022-10-23,1.967817997723708,13.788537552998744,3.7552718306076113,6.966762391321727,8.761596773539828
2022-10-24,1.990425895101157,13.435868351586482,7.409383633261763,6.944208226922247,8.78912444390916
2022-10-25,1.9443588998818562,13.568285521092657,3.167233777017299,6.994073356880018,8.868739191798315
2022-10-26,1.980695195797203,13.344840212003847,2.228026723223021,6.93881729352701,8.77535568114946
2022-10-27,2.012351240974556,13.250567786407983,10.607421946006454,6.969634994263001,8.79090629532822
